question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
"1481. a 35yo woman who usually has 4 days mid-cycle bleeding, had her period 10d ago. she has now presented with spots of blood. her smear was normal 6m ago. exam: cervical ectropion which doesn’t bleed on touch. what would you do?",a. cervical smear,b. endocervical swab,c. us guided biopsy,d. laparotomy,e. transvaginal us,f. punch biopsy,g. serum estradiol,h. colposcopy,,,key: the key is a. cervical smear. wrong key! correct key is endocervical swab. [cervical smear can only be done on scheduled time and not in on need basis. in given case for intermenstrual bleeding endocervical swab should be done].,,
"1482. a 7yo boy presents with epistaxis of 2h duration. the bleeding has been controlled. inv: plts=210, pt=13, aptt=42, bleeding time=normal. which of the following is the most likely dx?",a. hemophilia,b. von willebrand disease,c. itp,d. vit k deficiency,e. liver disease,f. anatomical defect,,,,,key: the key is f. anatomical defect.,,
"1483. a pregnant woman returns from sudan, now presenting with intermittent fever, rigor and seizures. what is the dx?",a. tb,b. malaria,c. meningitis,d. lyme disease,,,,,,,key: the key is b. malaria. [intermittent fever is seen in malaria. in meningitis fever is not intermittent].,,
1484. a pt is unresponsive and cyanosed. what is the most definitive 1st step in management?,a. chest compressions,b. check airway,c. call 999,d. mouth to mouth,e. recovery position,,,,,,key: the key is b. check airway.,,
1485. a man was bitten by a drug addict and comes to the hosp with a wound. what inv should be undertaken?,a. hep c,b. lyme disease,c. hep b,d. syphilis,e. hep a,,,,,,key: the key is c. hepatitis b.,,
1486. an 18yo woman says that she can’t walk around as she is very big for that room. what is the most likely hallucination?,a. extracampine visual hallucinations,b. liliputian visual hallucinations,c. alice in wonderland syndrome,d. hypnagogic hallucinations,,,,,,,key: the key is b. lilliputian visual hallucination.  [b. liliputian visual hallucinations and c. alice in wonderland syndrome are same].,,
"1487. a middle aged lady presented with fever, altered sensorium, bleeding gums and jaundice. labs: deranged renal function tests, normal pt/aptt, fragmented rbcs and low plts. what’s the most likely dx?",a. cholesterol emboli,b. hus,c. ttp,d. hepatorenal syndrome,e. sepsis,,,,,,key: the key is c. ttp. [fever and altered sensorium suggest the diagnosis of ttp].,,
1488. a child came to the ed with severe asthma and not responding to salbutamol nebulizer and vomiting many times. what is the most appropriate management?,a. salmetrol,b. montelukast,c. prednisolone,d. budesonide inhaler,e. oxygen,f. iv salbutamol,,,,,key: the key is a. salmeterol which is a wrong key!! the correct option is f. iv salbutamol. [in acute attack there is no place for salmeterol. in the given case most appropriate management is iv salbutamol].,,
"1489. a 73yo woman with skeletal and brain mets from breast ca has worsening low back pain and blurring of vision. she has weakness of her legs, minimal knee and absent ankle tendon reflexes, a palpable bladder, a power of 2/5 at the hip, 3/5 at the knee and ankle, and tenderness over the 2nd lumbar vertebra. there is reduced sensation in the perineum. she has been started on dexamethasone 16mg daily.what is the single most likely cause of her weakness?",a. paraneoplastic neuropathy,b. progression of brain tumor,c. pid at l2/l3,d. spinal cord compression,e. steroid induced myopathy,,,,,,key: no key is given! the likely correct option is d. spinal cord compression. [brain metastasis induced cerebral oedema can explain blurring of vision secondary to raised intracranial pressure. rest of the features including weakness can well explain spinal cord compression].,,
1490. a 78yo woman presents with unilateral headache and pain on chewing. esr=70mm/hr. she is on oral steroids. what is the appropriate additional therapy?,a. bisphosphonates,b. hrt,c. acei,d. ifn,e. iv steroids,,,,,,key: the key is a. bisphosphonates. [oral steroid can lead to decrease in bone mineral density. to overcome this bisphosphonate can be administered].,,
1491. a 48yo woman is admitted to the ed with a productive cough and mod fever. she often has central chest pain and she regurgitates undigested food most of the time but doesn’t suffer from acid reflux. these symptoms have been present for the last 3.5m which affects her daily food intake. cxr: air-fluid level behind a normal sized heart. what is the single most likely dx?,a. pharyngeal pouch,b. hiatus hernia,c. bulbar palsy,d. achalasia,e. tb,,,,,,key: 1. the key is b. hiatus hernia. [usually in hiatus hernia there is acid reflux but in given case there is no acid reflux which can be true if hiatus hernia is small].,,
1492. a retired ship worker has pleural effusion and pleural thickening on right side with bilateral lung shadowing. what would you do to improve his symptoms?,a. aspiration,b. chest drain,c. chemotherapy,d. diuretic,,,,,,,key: the key is c. chemotherapy. it is a wrong key! correct key is b. chest drain. [response to chemotherapy and life expectancy is poor in mesothelioma. to improve symptoms chest drain should be undertaken].,,
1493. an 88yo woman is a known smoker. she had an attack of mi 2y back and is known to have peripheral vascular disease. she presents with an irreducible herniation over the incision region of a surgery which she underwent in her childhood. what is the most appropriate tx?,a. truss,b. elective herniorrhaphy,c. urgent herniorrhaphy,d. elective herniotomy,e. reassure,,,,,,key: the key is b. elective hernioraphy. [truss can not be used as hernia is irreducible; urgent herniorrhaphy in strangulation; elective herniotomy- in herniotomy the hernia may recur; only reassure is not an option as irreducibe hernia may become strangulated or may develop intestinal obstruction].,,
1494. a 72yo woman who is taking loop diuretics for left ventricular failure. she now is suffering from palpitations and muscle weakness. what is the electrolyte imbalance found?,"a. na+=130mmol/l, k+=2.5mmol/l","b. na+=130mmol/l, k+=5.5mmol/l","c. na+=140mmol/l, k+=4.5mmol/l","d. na+=150mmol/l, k+=3.5mmol/l",e. none,,,,,,"key: the key is a. na+=130mmol/l, k+=2.5mmol/l. [loop diuretics causes hyponatremia and hypokalemia].",,
"1495. a young woman who is a marathon runner comes with secondary amenorrhea. inv: normal lh, fsh and estradiol, prolactin=600. what is the most likely dx?",a. hypothalamic amenorrhea,b. pregnancy,c. pcos,d. prolactinoma,e. anorexia,,,,,,"key: the key is d. prolactinoma. it is a wrong key. correct key is a. hypothalamic amenorrhea. [generally in hypothalamic amenorrhea there is slight low level of lh, fsh and oestrogen and mild elavation of prolactin].",,
1496. a 4yo child comes with a sprain in his foot. hx reveals that the child has had recurrent admissions to the hosp due to severe asthma. what is the most appropriate analgesic?,a. diclofenac sodium,b. ibuprofen,c. paracetamol,d. codeine,,,,,,,key: the key is c. paracetamol.,,
"1497. a 34yo pregnant woman, 38wk ga is in labor. she had a long 1st stage and troublesome 2nd stage, has delivered a baby. after her placenta was delivered she had a convulsion. what is the most probable management?",a. mgso4 iv,b. diazepam iv,c. iv fluid,d. hydralazine iv,e. anti-epileptic,,,,,,"key: the key is a. mgso4 iv. [eclampsia, tx is iv mgso4].",,
1498. a 23yo woman presents with offensive vaginal discharge. vaginal ph=4.5. what is the most likely organism?,a. gardenella,b. trichomonas,c. candida,d. mycoplasma,,,,,,,key: the key is a. gardenella.,,
"1499. a 62yo man has had ano-rectal pain aggravated by defecation for 3d. rectal exam: purple, tender lump at the anal verge. flexible aigmoidoscopy: normal rectal mucosa and hard feces. what is the best management strategy?",a. anal hematoma,b. anal fissure,c. rectal ca,d. diverticulitis,e. angiodysplasia,,,,,,key: the key is a. anal hematoma.,,
1500. a 43yo presents with severe vertigo on moving sidewards whilst sleeping. what test would you do to confirm the dx?,a. hallpikes maneovure,b. romberg’s test,c. trendelenburg test,d. heel-shin test,,,,,,,key: the key is a. hallpike maneovure. [hallpike maneovure is the preferred method to detect benign positional vertigo].,,
"1501. a 23yo man is having difficulty in speaking following a stab wound to the right of his neck. on being asked to protrude his tongue, the tip deviated to the right. which anatomical site is most likely to be affected?",a. facial nerve,b. hypoglossal nerve,c. vagus nerve,d. trigeminal nerve,e. glossopharyngeal nerve,,,,,,"key: the key is b. hypoglossal nerve. [in hypoglossal nerve palsy  the tongue will be curved toward the damaged side, combined with the presence of fasciculations or atrophy of tongue on same side].",,
1502. a girl presents with signs of hyperventilation. what is the most likely abg derangement?,"a. ph increased, pco2 increased","b. ph decreased, pco2 increased","c. ph increased, pco2 decreased","d. ph decreased, pco2 decreased",,,,,,,"key: the key is a. ph increased, pco2 increased. this is a wrong key. correct key should be c. ph increased, pco2 decreased.",,
"1503. a pt presents with skin pigmentation, diarrhea, vomiting, abdominal pain and postural hypotension. what electrolyte abnormality is likely to occur?","a. na+=130, k+=6.5","b. na+=130, k+=2.5","c. na+=13, k+=6.0","d. na+=140, k+=8","e. na+=130, k+=1.5",,,,,,"key: the key is a. na+=130, k+=6.5. [in addison’s disease there is low na+, low cl-, low co2 and raised k+].",,
1504. a 10yo boy develops nasal bleeding. what is the best way to stop the bleeding from the nose?,a. pressure over base of the nose,b. ice packs,c. pressure over the soft tissues,d. nasal packing,e. surgery,,,,,,key: the key is c. pressure over the soft tissues.,,
"1505. a pt came to the hosp with a complaint of severe chest pain lasting for >1h. following ecg test, pt revealed to have st depression. he was already on aspirin. what is the most specific tx for this pt?",a. gtn,b. simvastatin,c. clopidogrel,d. bb,e. lmwh,,,,,,key: the key is b. simvastatin. it is a wrong key. correct key should be lmwh. [specific treatment means treatment particularly adapted to the special disease being treated.  lmwh is vital to prevent further events or deterioration and seems to be the most specific drug in the given scenario].,,
"1506. a 69yo woman presents with a sudden onset of weakness of her right arm and leg. she is known to be hypertensive. there has been no headache, loc, visual, speech or sensory symptoms. exam: bp=180/90mmhg, pulse=100 and regular heart sounds, no carotid bruit. higher mental function tests are normal. no apraxia or neglect. speech, swallowing and sensation are normal. there are no visual field defects. there is a mild facial weakness sparing the forehead. the right arm and leg are flaccid and weak. reflexes and tone are normal. there is a right extensor plantar response. what is the most likely cause of this pt’s symptoms?",a. cardioembolic stroke,b. lacunar stroke,c. right internal carotid artery atheroembolic stroke,d. right internal carotid artery dissection,e. right vertebral artery atheroembolic stroke,,,,,,"key: the key is b. lacunar stroke. [weakness of right arm and leg. so lesion is on left side. hence c,d and e can not be the option. also no af or carotid artery disease and features are very much consistent with lacunar infarct].",,
